"pre_idbatchcage","post_idbatch","batch","group","condition","Prerank","Postrank","SampleName","region"
"2Batch12Cage2","2-2Batch12",12,"reorganized","same",3,3,"D3.PFCB12.2.2.trim.sam.counts","PFC"
"2Batch12Cage2","2-2Batch12",12,"reorganized","same",3,3,"H5.AMYB12.2.2.trim.sam.counts","AMY"
"3Batch13Cage4","4-3Batch13",13,"reorganized","descenders",1,3,"B3.AMYB13.4.3.trim.sam.counts","AMY"
"3Batch13Cage4","4-3Batch13",13,"reorganized","descenders",1,3,"F3.PFCB13.4.3.trim.sam.counts","PFC"
"2Batch9Cage4","4-2Batch9",9,"reorganized","ascenders",3,1,"E6.AMYB9.4.2.trim.sam.counts","AMY"
"2Batch9Cage4","4-2Batch9",9,"reorganized","ascenders",3,1,"H7.PFCB9.4.2.trim.sam.counts","PFC"
"2Batch14Cage5","5-2Batch14",14,"control","control",3,3,"B8.PFCB14.5.2.trim.sam.counts","PFC"
"2Batch14Cage5","5-2Batch14",14,"control","control",3,3,"C6.AMYB14.5.2.trim.sam.counts","AMY"
"2Batch9Cage3","3-2Batch9",9,"reorganized","same",3,3,"A5.PFCB9.3.2.trim.sam.counts","PFC"
"2Batch9Cage3","3-2Batch9",9,"reorganized","same",3,3,"D1.AMYB9.3.2.trim.sam.counts","AMY"
"4Batch14Cage6","6-4Batch14",14,"reorganized","descenders",1,3,"F8.PFCB14.6.4.trim.sam.counts","PFC"
"4Batch14Cage6","6-4Batch14",14,"reorganized","descenders",1,3,"H4.AMYB14.6.4.trim.sam.counts","AMY"
"1Batch11Cage4","4-1Batch11",11,"reorganized","ascenders",3,1,"C2.AMYB11.4.1.trim.sam.counts","AMY"
"1Batch11Cage4","4-1Batch11",11,"reorganized","ascenders",3,1,"C5.PFCB11.4.1.trim.sam.counts","PFC"
"1Batch12Cage2","2-1Batch12",12,"reorganized","descenders",1,3,"E1.AMYB12.2.1.trim.sam.counts","AMY"
"1Batch12Cage2","2-1Batch12",12,"reorganized","descenders",1,3,"H8.PFCB12.2.1.trim.sam.counts","PFC"
"2Batch13Cage4","4-2Batch13",13,"reorganized","ascenders",3,1,"B5.AMYB13.4.2.trim.sam.counts","AMY"
"2Batch13Cage4","4-2Batch13",13,"reorganized","ascenders",3,1,"C2.PFCB13.4.2.trim.sam.counts","PFC"
"4Batch14Cage1","1-4Batch14",14,"reorganized","same",3,3,"B9.PFCB14.1.4.trim.sam.counts","PFC"
"4Batch14Cage1","1-4Batch14",14,"reorganized","same",3,3,"H2.AMYB14.1.4.trim.sam.counts","AMY"
"2Batch13Cage5","5-2Batch13",13,"control","control",3,3,"E8.AMYB13.5.2.trim.sam.counts","AMY"
"2Batch13Cage5","5-2Batch13",13,"control","control",3,3,"H2.PFCB13.5.2.trim.sam.counts","PFC"
"3Batch8Cage3","3-3Batch8",8,"reorganized","same",3,3,"D4.AMYB8.3.3.trim.sam.counts","AMY"
"3Batch8Cage3","3-3Batch8",8,"reorganized","same",3,3,"F2.PFCB8.3.3.trim.sam.counts","PFC"
"1Batch10Cage3","3-1Batch10",10,"reorganized","same",3,3,"E7.PFCB10.3.1.trim.sam.counts","PFC"
"1Batch10Cage3","3-1Batch10",10,"reorganized","same",3,3,"G2.AMYB10.3.1.trim.sam.counts","AMY"
"3Batch14Cage3","3-3Batch14",14,"control","control",3,3,"B5.PFCB14.3.3.trim.sam.counts","PFC"
"3Batch14Cage3","3-3Batch14",14,"control","control",3,3,"E2.AMYB14.3.3.trim.sam.counts","AMY"
"4Batch11Cage5","5-4Batch11",11,"control","control",3,3,"A5.AMYB11.5.4.trim.sam.counts","AMY"
"4Batch11Cage5","5-4Batch11",11,"control","control",3,3,"G4.PFCB11.5.4.trim.sam.counts","PFC"
"4Batch10Cage1","1-4Batch10",10,"reorganized","descenders",1,3,"D8.PFCB10.1.4.trim.sam.counts","PFC"
"4Batch10Cage1","1-4Batch10",10,"reorganized","descenders",1,3,"E5.AMYB10.1.4.trim.sam.counts","AMY"
