"SampleName","region","batch","post_idbatch","AggGiven70min","AggRec70min","mean_con_ng_ul","period","pre_idbatch","pre_idbatchcage","group","time","Postds","Postrank","Preds","Prerank","condition","wt_d4","wt_d8","wt_12"
"E1.PFCB9.3.4.trim.sam.counts","PFC",9,"3-4Batch9",0,30,340.627515661503,"Post","4Batch9","4Batch9Cage3","reorganized","1 hr",-3.72777777777778,4,4.64311594202899,1,"descenders",42,40.9,41.3
"E2.AMYB14.3.3.trim.sam.counts","AMY",14,"3-3Batch14",0,59,98.7630129266694,"Post","3Batch1","3Batch14Cage3","control","1 hr",-1.5047619047619,3,-2.67621623228031,3,"control",35.7,36.6,32.6
"E2.PFCB12.4.2.trim.sam.counts","PFC",12,"4-2Batch12",68,0,139.062318448956,"Post","2Batch1","2Batch12Cage4","reorganized","1 hr",2,1,-2.9517094017094,4,"ascenders",37.8,38.1,33.8
"E3.AMYB11.1.3.trim.sam.counts","AMY",11,"1-3Batch11",0,60,453.405341935043,"Post","3Batch1","3Batch11Cage1","reorganized","1 hr",-1.875,4,5.76653185035389,1,"descenders",38.8,37.1,36.8
"E3.PFCB14.1.2.trim.sam.counts","PFC",14,"1-2Batch14",62,32,452.552545730483,"Post","2Batch1","2Batch14Cage1","reorganized","1 hr",1.75238095238095,1,5.45,1,"same",42.9,41.5,42
"E4.AMYB12.3.4.trim.sam.counts","AMY",12,"3-4Batch12",66,0,89.6988503150503,"Post","4Batch1","4Batch12Cage3","control","1 hr",3.83928571428571,1,4.74142857142857,1,"control",38.2,38.1,36.7
"E4.PFCB13.5.1.trim.sam.counts","PFC",13,"5-1Batch13",0,45,143.606764359867,"Post","1Batch1","1Batch13Cage5","control","1 hr",-2.7,4,-5.02857142857143,4,"control",35.5,35.7,36.8
"E5.AMYB10.1.4.trim.sam.counts","AMY",10,"1-4Batch10",51,60,225.229469355862,"Post","4Batch1","4Batch10Cage1","reorganized","1 hr",-2.84615384615385,3,5.64067226890756,1,"descenders",40.7,40.1,39.6
"E5.PFCB10.3.2.trim.sam.counts","PFC",10,"3-2Batch10",0,69,339.268143707453,"Post","2Batch1","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same",36.3,36.2,35.1
"E6.AMYB9.4.2.trim.sam.counts","AMY",9,"4-2Batch9",68,0,96.2176315735226,"Post","2Batch9","2Batch9Cage4","reorganized","1 hr",3.65994152046784,1,-1.62424242424242,3,"ascenders",40.9,41.4,40.1
