Timestamp,Cage ,OG Cage Animal 1,Animal 1,Animal 1- Behavior,OG Cage Animal 2,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
11/14/2019 10:51:13,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,Freeze/immobility,,,
11/14/2019 10:51:40,Cage 3,Cage 5,2,"Bite/Fight, Sniff",Cage 4,3,Freeze/immobility,,,
11/14/2019 10:52:12,Cage 3,Cage 5,2,Bite/Fight,Cage 4,3,Freeze/immobility,,,
11/14/2019 10:52:32,Cage 5,Cage 1,4,Bite/Fight,Cage 1,1,"Flee, Freeze/immobility",,,
11/14/2019 10:53:28,Cage 2,Cage 4,2,"Lunge, Bite/Fight",Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:53:56,Cage 4,Cage 5,3,Bite/Fight,Cage 2,2,Freeze/immobility,,,
11/14/2019 10:54:33,Cage 4,Cage 5,3,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,Yes
11/14/2019 10:56:07,Cage 5,Cage 1,4,"Bite/Fight, Chase",Cage 1,2,Flee,,,
11/14/2019 10:57:34,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:59:04,Cage 3,Cage 3,3,Bite/Fight,Cage 2,4,Freeze/immobility,,,
11/14/2019 10:59:36,Cage 5,Cage 1,4,Bite/Fight,Cage 1,1,Flee,,,
11/14/2019 10:59:47,Cage 5,Cage 1,4,Bite/Fight,Cage 1,2,Freeze/immobility,,,
11/14/2019 11:00:08,Cage 1,Cage 1,1,Lunge,Cage 1,1,Lunge,Tmm,End,
11/14/2019 11:00:27,Cage 1,Cage 1,1,Lunge,Cage 1,1,Lunge,Tmm,Start,
11/14/2019 11:03:11,Cage 2,Cage 4,2,"Bite/Fight, Chase",Cage 5,1,Flee,,,
11/14/2019 11:03:22,Cage 5,Cage 1,4,"Bite/Fight, Chase",Cage 1,2,"Flee, Subordinate posture",,,
11/14/2019 11:03:34,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:04:01,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:05:56,Cage 2,Cage 4,2,"Lunge, Bite/Fight",Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:07:35,Cage 1,Cage 4,1,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 11:08:01,Cage 4,Cage 5,3,Bite/Fight,Cage 3,2,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:09:15,Cage 3,Cage 4,3,Bite/Fight,Cage 2,4,Subordinate posture,,,
11/14/2019 11:12:05,Cage 3,Cage 4,3,Bite/Fight,Cage 2,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:15:33,Cage 4,Cage 4,4,Bite/Fight,Cage 3,2,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:15:52,Cage 4,Cage 4,4,Bite/Fight,Cage 2,2,Freeze/immobility,,,
11/14/2019 11:16:07,Cage 4,Cage 5,3,"Bite/Fight, Chase",Cage 4,4,Flee,,,
11/14/2019 11:16:23,Cage 4,Cage 5,3,"Lunge, Bite/Fight",Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:16:49,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:19:53,Cage 4,Cage 5,3,Bite/Fight,Cage 3,2,Freeze/immobility,,,
11/14/2019 11:20:28,Cage 4,Cage 5,3,"Bite/Fight, Chase",Cage 4,4,"Bite/Fight, Subordinate posture",,,
11/14/2019 11:20:55,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 5,4,Subordinate posture,,,
11/14/2019 11:21:45,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 11:23:17,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:24:41,Cage 4,Cage 4,4,Bite/Fight,Cage 2,2,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:27:43,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Freeze/immobility,,,
11/14/2019 11:28:16,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
