Timestamp,Cage,Animal 1,Animal 1- Behavior,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
1/15/2020 16:00:12,Cage 5,4,"Lunge, Bite/Fight",3,"Bite/Fight, Subordinate posture, Freeze/immobility",,,
1/15/2020 16:00:29,Cage 4,3,Mount,1,Freeze/immobility,,,
1/15/2020 16:02:25,Cage 5,3,"Mount, Sniff",4,Freeze/immobility,,,
1/15/2020 16:03:44,Cage 5,3,"Bite/Fight, Mount",4,Freeze/immobility,,,
1/15/2020 16:07:23,Cage 2,4,"Bite/Fight, Sniff",2,Subordinate posture,,,
1/15/2020 16:08:08,Cage 5,3,Bite/Fight,1,"Flee, Freeze/immobility",,,
1/15/2020 16:09:06,Cage 4,3,Bite/Fight,4,Freeze/immobility,,,
1/15/2020 16:09:27,Cage 5,3,Bite/Fight,4,Freeze/immobility,,,
1/15/2020 16:10:25,Cage 5,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:11:11,Cage 4,3,"Lunge, Mount",4,Freeze/immobility,,,
1/15/2020 16:11:58,Cage 4,3,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:12:11,Cage 5,3,Bite/Fight,4,Freeze/immobility,,,
1/15/2020 16:13:07,Cage 4,3,Mount,1,Freeze/immobility,,,
1/15/2020 16:16:00,Cage 3,1,Bite/Fight,2,Sniff,,,
1/15/2020 16:17:03,Cage 1,3,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:17:19,Cage 1,3,Bite/Fight,2,Subordinate posture,,,
1/15/2020 16:18:14,Cage 3,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:19:46,Cage 3,3,"Bite/Fight, Sniff",2,Freeze/immobility,,,
1/15/2020 16:19:58,Cage 1,3,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:20:21,Cage 1,3,Bite/Fight,2,Freeze/immobility,,,
1/15/2020 16:23:42,Cage 3,4,Lunge,2,Freeze/immobility,,,
1/15/2020 16:24:40,Cage 1,3,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:24:56,Cage 1,3,Bite/Fight,1,Freeze/immobility,,,
1/15/2020 16:29:49,Cage 1,3,"Lunge, Bite/Fight",2,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:30:22,Cage 1,4,Mount,3,Freeze/immobility,,,
1/15/2020 16:30:39,Cage 1,4,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:31:03,Cage 3,4,Sniff,1,Sniff,,,
1/15/2020 16:33:27,Cage 2,1,"Lunge, Sniff",3,Flee,,,
1/15/2020 16:36:48,Cage 1,2,"Lunge, Mount",1,Freeze/immobility,,,
1/15/2020 16:41:04,Cage 1,3,Lunge,2,Flee,,,
1/15/2020 16:41:43,Cage 2,4,"Lunge, Sniff",1,"Flee, Freeze/immobility",,,
1/15/2020 16:48:09,Cage 3,3,Mount,2,Freeze/immobility,,,
1/15/2020 16:48:33,Cage 5,3,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:50:28,Cage 2,1,"Lunge, Bite/Fight",2,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:50:52,Cage 5,3,Bite/Fight,4,"Bite/Fight, Subordinate posture, Freeze/immobility",,,
1/15/2020 16:51:51,Cage 2,3,Bite/Fight,2,Freeze/immobility,,,
1/15/2020 16:53:24,Cage 5,3,"Lunge, Mount",4,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:54:45,Cage 5,3,Bite/Fight,4,"Bite/Fight, Flee, Subordinate posture",,,
1/15/2020 16:58:39,Cage 5,3,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,
1/15/2020 16:58:58,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
1/16/2020 16:15:41,Cage 1,1,Lunge,1,Lunge,Tmm ,Start,
1/16/2020 16:25:25,Cage 1,4,Bite/Fight,2,Freeze/immobility,,,
1/16/2020 16:27:39,Cage 4,3,Mount,1,Freeze/immobility,,,
1/16/2020 16:29:18,Cage 1,4,Bite/Fight,1,Freeze/immobility,,,
1/16/2020 16:30:12,Cage 3,4,Bite/Fight,1,Freeze/immobility,,,
1/16/2020 16:30:57,Cage 3,2,Lunge,1,"Flee, Freeze/immobility",,,
1/16/2020 16:33:04,Cage 3,3,Mount,1,Freeze/immobility,,,
1/16/2020 16:34:38,Cage 4,4,Lunge,2,"Flee, Freeze/immobility",,,
1/16/2020 16:35:29,Cage 2,4,Bite/Fight,3,Freeze/immobility,,,
1/16/2020 16:35:51,Cage 4,4,Bite/Fight,2,Freeze/immobility,,,
1/16/2020 16:36:01,Cage 4,3,"Lunge, Bite/Fight",4,"Subordinate posture, Freeze/immobility",,,
1/16/2020 16:38:40,Cage 4,3,"Bite/Fight, Chase, Allogroom",4,"Flee, Freeze/immobility",,,
1/16/2020 16:40:33,Cage 4,3,Mount,1,Freeze/immobility,,,
1/16/2020 16:41:41,Cage 4,3,Mount,1,"Subordinate posture, Freeze/immobility",,,
1/16/2020 16:48:12,Cage 1,4,"Sniff, Allogroom",2,Freeze/immobility,,,
1/16/2020 16:56:36,Cage 2,1,Bite/Fight,3,Freeze/immobility,,,
1/16/2020 16:56:43,Cage 2,4,Lunge,1,Flee,,,
1/16/2020 16:57:16,Cage 5,3,Mount,4,Freeze/immobility,,,
1/16/2020 16:59:59,Cage 4,3,"Bite/Fight, Chase",2,"Flee, Subordinate posture, Freeze/immobility",,,
1/16/2020 17:00:06,Cage 5,4,Bite/Fight,2,Freeze/immobility,,,
1/16/2020 17:04:20,Cage 5,4,Bite/Fight,2,Freeze/immobility,,,
1/16/2020 17:06:25,Cage 2,1,Bite/Fight,2,Freeze/immobility,,,
1/16/2020 17:07:57,Cage 2,1,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
1/16/2020 17:08:06,Cage 3,4,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/16/2020 17:08:24,Cage 3,4,"Bite/Fight, Mount",1,"Subordinate posture, Freeze/immobility",,,
1/16/2020 17:08:37,Cage 3,4,Bite/Fight,1,Freeze/immobility,,,
1/16/2020 17:15:05,Cage 1,1,Lunge,1,Lunge,Tmm ,End,
