Well_ID,Name,Well,Dil,ABS_450,CONC,Count,Mean,Std_dev,CV,plate 
SPL37,,H11,,0.048,>5249.023,0,?????,?????,?????,1
,,H12,,0.057,>5249.023,,,,,1
STD1,,C1,5000,0.164,4114.663,1,4114.663,?????,?????,1
,,C2,5000,0.142,>5249.023,,,,,1
STD2,,D1,2500,0.206,2453.560059,2,2366.270392,123.4462302,3.688913436,1
,,D2,2500,0.213,2278.980726,,,,,1
STD3,,E1,1250,0.268,1373.588082,2,1446.909344,103.6919237,5.067439966,1
,,E2,1250,0.256,1520.230607,,,,,1
STD4,,F1,625,0.395,554.3412044,2,601.1415333,66.18565984,7.785242958,1
,,F2,625,0.371,647.9418622,,,,,1
STD5,,G1,312.5,0.499,291.0087384,2,317.102693,36.90242462,8.228865685,1
,,G2,312.5,0.472,343.1966477,,,,,1
STD6,,H1,156.25,0.625,130.8719992,2,144.2586218,18.93154318,9.279599647,1
,,H2,156.25,0.597,157.6452444,,,,,1
STD7,,A3,78.125,0.685,84.94719246,2,81.13268536,5.394527685,4.701566441,1
,,A4,78.125,0.697,77.31817825,,,,,1
STD8,,B3,39.063,0.759,44.51510246,2,47.05759457,3.595626825,5.402936834,1
,,B4,39.063,0.748,49.60008668,,,,,1
STD9,,C3,19.531,0.814,23.17402544,2,21.41735732,2.484303888,8.20207694,1
,,C4,19.531,0.825,19.66068919,,,,,1
BLK,,B1,,0.899,7.067973402,2,6.774256862,0.415377914,4.335775058,2
,,B2,,0.901,6.480540323,,,,,2
NSB,,A1,,0.074,#NUM!,0,,,,2
,,A2,,0.071,#NUM!,,,,,2
SPL1,b9 3-1 pre,D3,,0.303,1019.293874,2,1140.02856,170.7446308,10.59049663,2
,,D4,,0.279,1260.763246,,,,,2
SPL2,b9 3-1,E3,,0.201,3549.648026,2,3935.691301,545.9476354,9.808779338,2
,,E4,,0.192,4321.734576,,,,,2
SPL3,b9 4-1 pre,F3,,0.453,378.7474913,2,404.0838279,35.83099087,6.270069443,2
,,F4,,0.431,429.4201645,,,,,2
SPL4,b9 4-1,G3,,0.22,2540.597603,2,2367.679005,244.5438256,7.303295633,2
,,G4,,0.23,2194.760408,,,,,2
SPL5,b8 2-4 pre,H3,,0.324,862.5397183,2,916.4098487,76.18386906,5.87838842,2
,,H4,,0.309,970.2799791,,,,,2
SPL6,b8 2-4,A5,,0.257,1576.241483,2,1630.987974,77.42322928,3.356645869,2
,,A6,,0.251,1685.734464,,,,,2
SPL7,b8 3-4 pre,B5,,0.261,1509.712182,2,1391.244166,167.5390745,8.515256962,2
,,B6,,0.278,1272.776151,,,,,2
SPL8,b8 3-4,C5,,0.231,2164.715892,2,2135.723465,41.00148438,1.357499139,2
,,C6,,0.233,2106.731037,,,,,2
SPL9,b7 5-2 pre,D5,,0.29,1139.866264,2,1264.874518,176.7883692,9.88305582,2
,,D6,,0.269,1389.882773,,,,,2
SPL10,b7 5-2,E5,,0.25,1705.235572,2,1864.948567,225.868284,8.563935655,2
,,E6,,0.236,2024.661562,,,,,2
SPL11,b7 4-2 pre,F5,,0.495,300.3480534,2,309.636,13.136,2.999,2
,,F6,,0.484,318.9247945,,,,,2
SPL12,b7 4-2,G5,,0.209,3049.788843,2,3230.596223,255.7002479,5.596718587,2
,,G6,,0.203,3411.403602,,,,,2
SPL13,b6 2-1 pre,H5,,0.431,429.4201645,2,471.2878818,59.20989356,8.883682113,2
,,H6,,0.401,513.155599,,,,,2
SPL14,b6 2-1,A7,,0.312,947.1339019,2,873.8153718,103.6880597,8.390620317,2
,,A8,,0.334,800.4968417,,,,,2
SPL15,b6 1-4 pre,B7,,0.267,1418.324347,2,1294.624908,174.9374231,9.554847687,2
,,B8,,0.287,1170.92547,,,,,2
SPL16,b6 1-4,C7,,0.532,245.9384737,2,238.8701425,9.996129741,2.959068492,2
,,C8,,0.543,231.8018114,,,,,2
SPL17,b5 1-3 pre,D7,,0.478,329.5980321,2,365.207106,50.35883515,9.750378141,2
,,D8,,0.443,400.8161798,,,,,2
SPL18,b5 1-3,E7,,0.196,3944.052643,2,3677.728122,376.6397491,7.241549995,2
,,E8,,0.203,3411.403602,,,,,2
SPL19,b5 1-4 pre,F7,,0.315,924.8299062,2,1003.194305,110.8239953,7.811487587,2
,,F8,,0.296,1081.558703,,,,,2
SPL20,b5 1-4,G7,,0.313,939.60794,2,1005.954825,93.82866447,6.595413956,2
,,G8,,0.297,1072.30171,,,,,2
SPL21,b4 3-2 pre,H7,,0.256,1593.645011,2,1746.613035,216.3294544,8.757980224,2
,,H8,,0.241,1899.581059,,,,,2
SPL22,b4 3-2,A9,,0.301,1036.496209,2,1131.151887,133.8633444,8.368078562,2
,,A10,,0.282,1225.807566,,,,,2
SPL23,b4 4-1 pre,B9,,0.348,724.2186336,2,753.7012539,41.69472156,3.91171173,2
,,B10,,0.337,783.1838743,,,,,2
SPL24,b4 4-1,C9,,0.338,777.536364,2,713.4451047,90.63872806,8.983348379,2
,,C10,,0.364,649.3538455,,,,,2
SPL25,b3 2-3 pre,D9,,0.335,794.6631203,2,863.4184725,97.23475165,7.963155115,2
,,D10,,0.314,932.1738248,,,,,2
