"","symbol","dsub_logFC","dsub_pv","time","dd_logFC","dd_pv"
"60","Plin2",0.609208140266388,0.0038,70,0.523739037024364,0.0174
"61","Endod1",0.276625695839468,0.0038,70,0.249358029357365,0.01
"62","Atf5",0.727644688434765,0.0038,70,0.680204358348239,0.0132
"63","Ezr",0.490863571494047,0.0038,70,0.451694603775354,0.008
"64","Kbtbd11",0.32709830125516,0.0038,70,0.25647252533282,0.0258
"65","Aldh1a1",0.784861526956743,0.004,70,0.77825092954291,0.005
"69","Arxes1",0.48847982174591,0.0042,70,0.391032518876465,0.0204
"70","Slain1",0.284393801657598,0.0042,70,0.211918251618551,0.0346
"71","Tmem147",0.300538035946402,0.0044,70,0.212304965125124,0.0428
"72","Gnal",0.356457581016375,0.0044,70,0.291966388240439,0.0196
"73","Crtac1",0.668552625104462,0.0044,70,0.633768107856543,0.0068
"74","Bckdhb",0.359977061143519,0.0048,70,0.349331014164975,0.007
"75","Fam162a",0.415462579056959,0.005,70,0.302768242012165,0.0424
"76","Angptl4",0.66091101039861,0.0052,70,0.52733816658459,0.0398
"77","Slc15a2",0.374979482826355,0.0052,70,0.369363266610572,0.0072
"78","Mmp17",0.306069626008951,0.0052,70,0.267127938383563,0.0152
"79","Unc5b",0.534749904124487,0.0054,70,0.425525353359808,0.0316
"80","Skap2",0.563179360580777,0.0054,70,0.446304187686999,0.0274
"81","Glra1",2.03207072079031,0.0056,70,1.91452118882168,0.0128
"82","Arl15",0.667942049135368,0.0056,70,0.637752646991856,0.0052
"83","Itga9",0.426007927584203,0.0058,70,0.338489029375884,0.03
"84","Rtn4",0.239463872445832,0.006,70,0.228981290246212,0.0056
"85","Chka",-0.273058969559014,0.006,70,-0.277852844836831,0.0058
"86","Fbxo44",0.293588103390929,0.006,70,0.210022475678586,0.047
"87","Filip1",1.07124065124342,0.006,70,0.906501186064801,0.0226
"88","Srgn",0.923447447806632,0.0062,70,0.735126944456957,0.031
"89","Rars2",0.375851809157241,0.0068,70,0.280200459861695,0.0452
"90","Olfr1431",-0.907443453959563,0.0068,70,NA,NA
"91","Tor2a",0.326084094671072,0.007,70,0.41169774331199,0.0018
