"symbol","as_logFC","as_pv","time","ds_logFC","ds_pv","regulated","condition"
"Supt7l",-0.200841617365159,0.0176,70,-0.202127690951194,0.0182,"down","TRN vs SUB"
"Vmn1r227",-0.359229014571819,0.0176,70,-0.345613183390758,0.0164,"down","TRN vs SUB"
"Fam162a",0.354011031089648,0.018,70,0.415462579056959,0.005,"up","TRN vs SUB"
"Gga2",-0.237652995582025,0.0184,70,-0.258294091134005,0.0116,"down","TRN vs SUB"
"Dync2h1",-0.295311630068754,0.0184,70,-0.358607396676229,0.0042,"down","TRN vs SUB"
"Olfr1419",-0.549153594274637,0.0184,70,-0.631998030072431,0.0074,"down","TRN vs SUB"
"Rhoq",0.318026238064371,0.0186,70,0.413554224196985,0.002,"up","TRN vs SUB"
"Glra2",0.644927337390419,0.0188,70,0.708702343445839,0.0096,"up","TRN vs SUB"
"Trnp1",0.283833623885426,0.019,70,0.369935022097707,0.0032,"up","TRN vs SUB"
"Rhobtb2",-0.240890279307417,0.0194,70,-0.257953943751284,0.0148,"down","TRN vs SUB"
"Mmp16",-0.203494055321055,0.0194,70,-0.253325441053457,0.0036,"down","TRN vs SUB"
"Coa7",-0.213457898879548,0.0194,70,-0.374422963371691,0,"down","TRN vs SUB"
"Tank",0.407899554391013,0.0196,70,0.443089091146005,0.0122,"up","TRN vs SUB"
"Tmprss11g",-0.456245467010057,0.0196,70,-0.4163814703089,0.0222,"down","TRN vs SUB"
"Ndufc2",0.269904871036331,0.0198,70,0.31536536956137,0.0068,"up","TRN vs SUB"
"Ap1s2",0.4195612713922,0.0198,70,0.759862112879148,0,"up","TRN vs SUB"
"Mt3",0.362527200783946,0.0204,70,0.457477969830693,0.0026,"up","TRN vs SUB"
"Gmpr",0.475694789401377,0.0206,70,0.4126624821225,0.0392,"up","TRN vs SUB"
"Bmpr1b",0.469819621052389,0.0206,70,0.731106548315012,4e-04,"up","TRN vs SUB"
"Rnd2",0.350164730185022,0.0208,70,0.361843016795367,0.0162,"up","TRN vs SUB"
