"","symbol","as_logFC","as_pv","time","adom_logFC","adom_pv"
"7359","Olfr190",-0.260094086789683,0.2394,70,-0.291734906861278,0.1916
"7360","Fgfrl1",0.221813782229056,0.2396,70,0.295092066683749,0.1426
"7361","Tfr2",0.226013107861334,0.24,70,0.325208981816329,0.1318
"7362","Wdr31",-0.212605457590954,0.2402,70,-0.363753368631147,0.0522
"7363","Aldh1a1",0.304121656368682,0.2404,70,0.297511058954848,0.274
"7367","Cdk2",-0.249865941421069,0.2406,70,-0.209984321812129,0.3478
"7368","Olfr655",-0.37864062443,0.2412,70,-0.455034742734699,0.1566
"7369","Tph1",-0.221431014944553,0.2416,70,-0.273587172522726,0.1698
"7370","Plekha8",0.282482409898658,0.2418,70,0.235365729537665,0.3456
"7371","Olfr472",-0.239039695903562,0.2426,70,-0.37262150952772,0.0744
"7372","Btg2",-0.280258909619984,0.243,70,-0.307203975956999,0.2188
"7373","Pmaip1",-0.362384973405871,0.2434,70,-0.241402362110947,0.462
"7374","Lmo1",-0.232442134903474,0.244,70,-0.375274507406804,0.0696
"7375","Galk1",0.254084695507847,0.2448,70,0.400527827450376,0.09
"7376","Dnai4",-0.222505704467014,0.2452,70,-0.318825814896723,0.1026
"7377","Psmc3ip",0.581210484714016,0.246,70,0.70336481172829,0.1976
"7378","Col24a1",-0.643578093287341,0.2468,70,-0.466055830594846,0.4308
"7379","Naaa",0.226665709556164,0.2472,70,0.243987645102712,0.2454
"7380","Olfr316",-0.379495705133038,0.2494,70,-0.483911733902316,0.166
"7381","Avp",1.2701177042681,0.2496,70,0.367180649160789,0.7208
"7382","Foxo4",-0.204450499689561,0.2514,70,-0.461231753590719,0.0098
"7383","Ncf4",-0.646170438679087,0.2514,70,-0.943807077084112,0.0866
"7384","Hint2",0.22468589660584,0.252,70,0.328826133768011,0.118
"7385","Jsrp1",-0.38803235329143,0.2522,70,-0.278193366098042,0.4538
"7386","Camk2d",0.214450137978551,0.2528,70,0.466369624633139,0.0214
"7387","Scn9a",-0.20827158527477,0.2542,70,-0.298922588878468,0.1096
"7388","Prox1",-0.282150279773024,0.2556,70,-0.634629248618674,0.0102
"7389","Marchf3",-0.397466928724102,0.2556,70,-0.476770854618889,0.177
"7390","Arv1",0.254935976232081,0.256,70,0.281229857392765,0.2372
"7391","Olfr77",-0.262453402106792,0.2574,70,-0.314220124440538,0.1994
"7392","Slc25a38",-0.217390871774631,0.2584,70,-0.327268087502753,0.0996
"7393","Rdh16",-0.203771073660637,0.2584,70,-0.288887070886338,0.1188
"7394","Slc13a3",-0.460199034633376,0.2586,70,-0.590595432527926,0.1544
"7395","Ccdc8",-0.23428180529793,0.2602,70,-0.29591580853559,0.1824
"7396","Apol6",-0.223678129112277,0.261,70,-0.303091793516223,0.151
"7397","L2hgdh",0.238678099164537,0.2612,70,0.316962900814542,0.159
"7398","Sardh",-0.303958052949722,0.2624,70,-0.424499482349177,0.1324
"7399","Pla2g4e",0.201427389438398,0.2624,70,0.203075969666355,0.2882
"7400","Mgme1",-0.230243869965598,0.2634,70,-0.216172112267421,0.3182
"7401","Nfya",0.246127330203351,0.2646,70,0.30472601776616,0.199
"7402","Mppe1",-0.340922002723111,0.2652,70,-0.317865067730021,0.3206
"7403","Lamc2",0.249858798660652,0.2654,70,0.364373353066764,0.1392
"7404","Gm17067",-0.272562137467869,0.2654,70,-0.234469131808732,0.3554
"7405","Stk32a",-0.387572614906946,0.2656,70,-0.28979667148606,0.4376
"7406","Ece2",-0.245078369488486,0.2658,70,-0.2470558166268,0.2802
"7407","Dbp",0.232298081495394,0.2664,70,0.218684429983444,0.2974
"7408","Dclre1a",0.233237367650108,0.268,70,0.313756725669665,0.1656
"7409","Amotl2",-0.291265863200382,0.268,70,-0.224674006194385,0.419
"7410","Slc35f5",0.25509010166468,0.2686,70,0.351288601285781,0.1574
"7411","Crocc",-0.239495202387594,0.2694,70,-0.267354829990906,0.2202
"7412","Pcolce2",-0.311174394432201,0.271,70,-0.201754144715555,0.4894
"7413","Hilpda",0.238302943598885,0.2712,70,0.238903282205973,0.2976
"7414","Rell1",0.285768259794888,0.2734,70,0.271842599285291,0.3174
"7415","Pex12",0.245506958953341,0.274,70,0.343701007912601,0.1638
"7416","Ptgds",-0.659101365446221,0.2746,70,-0.47476202060165,0.4348
"7417","Gpr171",-0.234544308522495,0.2746,70,-0.355898684095719,0.0948
"7418","Junb",-0.276813691148873,0.276,70,-0.333217007086197,0.2014
"7419","Trim6",-0.237613929624268,0.276,70,-0.224103256594161,0.3228
"7420","Igf2bp3",-0.218536133165302,0.2764,70,-0.482263985604144,0.0206
"7421","Vmn2r1",-0.444050150729734,0.2776,70,-0.387393610912826,0.3638
"7422","Ptpn22",-0.224566374877026,0.278,70,-0.252051399004516,0.2388
"7423","Hcn4",0.260916293685368,0.2784,70,0.307283205178681,0.2366
"7424","Gemin6",0.257070354999026,0.2808,70,0.201487107650349,0.4366
"7425","Trim25",-0.265976055926648,0.2814,70,-0.317141502115882,0.203
"7426","Casz1",-0.231428334794042,0.2824,70,-0.235035106497045,0.2974
"7427","Calcrl",-0.295100823255569,0.2844,70,-0.640971251369274,0.0158
"7428","Olfr806",-0.298847660259844,0.2844,70,-0.311870454744438,0.2818
"7429","Ppif",0.220505588264782,0.2848,70,0.312649690610395,0.1658
"7430","Clec18a",-0.733333099426468,0.285,70,-0.23535605275926,0.7544
"7431","Milr1",-0.401468351326418,0.285,70,-0.340010087657753,0.392
"7432","Eln",0.46615764803345,0.2862,70,0.328465327714964,0.4662
"7433","Xkrx",-0.291924170358463,0.2896,70,-0.333965037685054,0.247
"7434","Car8",-0.226839315756735,0.2896,70,-0.325128350121155,0.1388
"7435","Gm16523",-0.248860792245748,0.2898,70,-0.233175415062374,0.3536
"7436","Tmem268",0.217900264906868,0.29,70,0.316228728210065,0.1546
"7437","Sgms2",-0.202673277562365,0.291,70,-0.234355399345112,0.2538
"7438","Nod2",-0.432962285716192,0.2922,70,-0.444588127396133,0.306
"7439","Xpnpep2",0.269457543692342,0.293,70,0.348413529356806,0.202
"7440","Sp100",-0.242275704868234,0.2934,70,-0.303782290512318,0.197
"7441","Zbed4",-0.240619806657282,0.2936,70,-0.270685489047206,0.2618
"7442","Olfr920",-0.202665055987717,0.2948,70,-0.21240494249991,0.3066
"7443","Mindy4",0.235098544030963,0.296,70,0.216579506621728,0.3406
"7444","Mapk7",0.246622011297883,0.2962,70,0.413699948831272,0.0988
"7445","Fat4",-0.331639717341214,0.2976,70,-0.323645056938438,0.3322
