"symbol","DES_logFC","DES_pvalue","ASC_logFC","ASC_pvalue","contrast"
"Arnt2",-0.293926545744646,0.019,-0.225133713510338,0.0402,"trans vs. same"
"Tmem65",-0.712750483051304,0.02,-1.01694214252366,0.0038,"trans vs. same"
"Uchl5",-0.220144004387753,0.0214,-0.296985337765927,0.0094,"trans vs. same"
"Klhl4",-0.72489551946763,0.0224,-0.698511942596952,0.048,"trans vs. same"
"Glrx3",-0.259671555275134,0.0226,-0.246394825439221,0.031,"trans vs. same"
"Elavl2",-0.430397576385294,0.0228,-0.643855942146608,0.0134,"trans vs. same"
"Taf7",-0.352598583798576,0.0238,-0.419640169235139,0.0044,"trans vs. same"
"Hsp90aa1",-0.28719666418878,0.024,-0.322188151897976,0.0012,"trans vs. same"
"Sphk2",-0.358717359345947,0.024,-0.341460776145217,0.0024,"trans vs. same"
"Ccdc163",-0.47023159155421,0.0256,-0.482420895134911,0.0422,"trans vs. same"
"Map7d2",-0.250129576896912,0.026,-0.314308634796502,0.0496,"trans vs. same"
"Vwc2",-0.399788244262854,0.0272,-0.586214579620026,0.0274,"trans vs. same"
"Fcf1",-0.425393065178016,0.0274,-0.324707509513288,0.0392,"trans vs. same"
"Cyp26b1",-1.43612062890127,0.0274,-1.65780743647755,0.0324,"trans vs. same"
"Plekho1",-0.380487964877337,0.0292,-0.400975994922441,0.0134,"trans vs. same"
"Zfp101",-0.450874233622709,0.0294,-0.668629529388264,0.0314,"trans vs. same"
"Cbln2",-1.29416369795796,0.0306,-2.2845614562537,2e-04,"trans vs. same"
"Stk32b",-0.703804014634589,0.0306,-0.969307970535749,0.0308,"trans vs. same"
"Tmf1",-0.226368182668077,0.033,-0.370237280211047,0.0016,"trans vs. same"
"Prdx4",-0.416445478624712,0.0346,-0.375807522386425,0.0354,"trans vs. same"
"Magoh",-0.333153710995059,0.0362,-0.205516948961955,0.0324,"trans vs. same"
"Pfdn2",-0.301759368155787,0.0374,-0.302485223350233,0.032,"trans vs. same"
"Esrrb",-1.37008865282781,0.0374,-1.38596285309039,0.044,"trans vs. same"
"Mrps18a",-0.267622823408236,0.038,-0.389892453560605,0.0112,"trans vs. same"
"Kin",-0.28857068259345,0.0386,-0.337569851524689,0.0262,"trans vs. same"
"Fuom",-0.310806070177447,0.0388,-0.293509424438562,0.037,"trans vs. same"
"Fhod3",-0.54205891200113,0.0396,-0.673156690612415,0.0038,"trans vs. same"
"Nars",-0.22660574107471,0.0402,-0.313409641476515,0.0132,"trans vs. same"
"Lin37",-0.236185227950922,0.0402,-0.283978290269419,0.0192,"trans vs. same"
"Vat1l",-0.555711816851264,0.0416,-0.404137528085226,0.0404,"trans vs. same"
"Ccdc149",-0.246628199921195,0.0422,-0.363097323549811,0.0038,"trans vs. same"
"Slc6a3",-1.11623981550111,0.0426,-1.61349346043102,0.0124,"trans vs. same"
"Ak6",-0.229966459803584,0.0426,-0.252147114013369,0.0282,"trans vs. same"
"Ak6",-0.229966459803584,0.0426,-0.252147114013369,0.0282,"trans vs. same"
"Ak6",-0.229966459803584,0.0426,-0.252147114013369,0.0282,"trans vs. same"
"Ak6",-0.229966459803584,0.0426,-0.252147114013369,0.0282,"trans vs. same"
"Ints12",-0.447328737463851,0.043,-0.441836844978535,0.0054,"trans vs. same"
"Tcof1",-0.271380186868288,0.0444,-0.266914319504632,0.0176,"trans vs. same"
"Chga",-0.331207390397514,0.0452,-0.463753289232886,0.0234,"trans vs. same"
"Pcdh10",-0.375337589031276,0.0452,-0.569167982180043,0.0054,"trans vs. same"
"Pou3f1",-1.05217346309275,0.0466,-1.32156186426025,0.0388,"trans vs. same"
"Shox2",-1.25788821919454,0.0474,-1.49442525849681,0.0338,"trans vs. same"
"Zdhhc5",-0.232685612334159,0.0478,-0.291570917381504,0.0242,"trans vs. same"
"Bmper",-0.731083159945053,0.0484,-0.877350562158608,0.007,"trans vs. same"
"Zcchc2",-0.308811835354661,0.049,-0.294251114705052,0.0352,"trans vs. same"
