SampleName,region,batch,post_idbatch,AggGiven70min,AggRec70min,pre_idbatch,pre_idbatchcage,time,Postds,Postrank,Preds,Prerank,wt_d4,wt_d8,wt_12,post_Ncort,condition1
F5.AMYB14.3.4.trim.sam.counts,AMY,14,3-4Batch14,66,0,4Batch1,4Batch14Cage3,1 hr,3.45,1,4.7933352402746,1,40,38.7,35.8,0.31045265214921625,CDOM
F5.PFCB12.1.2.trim.sam.counts,PFC,12,1-2Batch12,0,32,2Batch1,2Batch12Cage1,1 hr,-2,4,-4,4,35.4,35,36.7,0.1298180474540589,SUB
F6.AMYB8.3.4.trim.sam.counts,AMY,8,3-4Batch8,66,0,4Batch8,4Batch8Cage3,1 hr,5.54625199362042,1,5.86919191919192,1,38.4,39,37.6,0.2974671496185921,DOM
F6.PFCB9.3.1.trim.sam.counts,PFC,9,3-1Batch9,77,27,1Batch9,1Batch9Cage3,1 hr,4.44615384615385,1,-3.95833333333333,4,42.5,40.4,40.3,0.5635704717102504,ASC
F7.AMYB12.3.1.trim.sam.counts,AMY,12,3-1Batch12,0,27,1Batch1,1Batch12Cage3,1 hr,-1.91666666666667,4,-2.82142857142857,4,38.3,35.8,38.8,0.030686417924673262,CSUB
F7.PFCB13.3.4.trim.sam.counts,PFC,13,3-4Batch13,66,30,4Batch1,4Batch13Cage3,1 hr,2.1,1,4.08333333333333,1,34.8,35.1,35,0.673239335382662,DOM
F8.AMYB14.4.2.trim.sam.counts,AMY,14,4-2Batch14,0,32,2Batch1,2Batch14Cage4,1 hr,-1.12380952380952,4,5.82678271907158,1,42.7,41.2,40.4,0.19700786328610184,DES
G1.AMYB10.5.3.trim.sam.counts,AMY,10,5-3Batch10,15,43,3Batch1,3Batch10Cage5,1 hr,-2.96296296296296,4,5.76342592592593,1,42.9,43.3,42.3,0.7950652758417412,DES
G3.AMYB10.3.3.trim.sam.counts,AMY,10,3-3Batch10,58,59,3Batch1,3Batch10Cage3,1 hr,5.34245014245014,1,4.9508547008547,1,39.7,39.8,38.8,1,DOM
G3.PFCB11.1.3.trim.sam.counts,PFC,11,1-3Batch11,0,60,3Batch1,3Batch11Cage1,1 hr,-1.875,4,5.76653185035389,1,38.8,37.1,36.8,0.8867589443118218,DES
G4.PFCB11.5.4.trim.sam.counts,PFC,11,5-4Batch11,0,41,4Batch1,4Batch11Cage5,1 hr,-2.15277777777778,4,-2.70744680851064,3,35,33.5,35.5,0.9159146784702663,CSUB
G5.PFCB13.1.2.trim.sam.counts,PFC,13,1-2Batch13,62,0,2Batch1,2Batch13Cage1,1 hr,2.75,1,-2.94444444444444,4,35.5,38.5,36.7,0.04393844930560219,ASC
G6.AMYB13.5.3.trim.sam.counts,AMY,13,5-3Batch13,15,0,3Batch1,3Batch13Cage5,1 hr,3.28333333333333,1,5.01428571428571,1,38.3,39.1,38.6,0.07073525634130508,CDOM
G6.PFCB13.2.2.trim.sam.counts,PFC,13,2-2Batch13,0,56,2Batch1,2Batch13Cage2,1 hr,-2.08333333333333,4,-4.01666666666667,4,36,37.7,34.8,0.23612369436703845,SUB
G7.PFCB11.5.2.trim.sam.counts,PFC,11,5-2Batch11,36,0,2Batch1,2Batch11Cage5,1 hr,3.79166666666667,1,5.66195131301514,1,32.8,31.8,31.8,0.11214456434764837,CDOM
G8.AMYB9.2.2.trim.sam.counts,AMY,9,2-2Batch9,8,0,2Batch9,2Batch9Cage2,1 hr,3.08333333333333,1,3.97069597069597,1,41.3,42.3,42.9,0.11178379359714764,CDOM
G8.PFCB14.3.4.trim.sam.counts,PFC,14,3-4Batch14,66,0,4Batch1,4Batch14Cage3,1 hr,3.45,1,4.7933352402746,1,40,38.7,35.8,0.31045265214921625,CDOM
H1.AMYB8.2.2.trim.sam.counts,AMY,8,2-2Batch8,0,56,2Batch8,2Batch8Cage2,1 hr,-1.01436781609195,4,-4.59464285714286,4,34.4,34.2,34.2,0.606019266607635,SUB
H3.AMYB8.2.4.trim.sam.counts,AMY,8,2-4Batch8,0,42,4Batch8,4Batch8Cage2,1 hr,-3.83333333333333,4,5.6606884057971,1,38.8,39,39.7,0.2068065578386838,DES
H3.PFCB14.1.1.trim.sam.counts,PFC,14,1-1Batch14,57,0,1Batch1,1Batch14Cage1,1 hr,4.71428571428572,1,-4.79761904761905,4,37.6,36.4,34,0.005129415309621833,ASC
H4.PFCB14.2.2.trim.sam.counts,PFC,14,2-2Batch14,0,56,2Batch1,2Batch14Cage2,1 hr,-4.04761904761905,4,-5.35164835164835,4,35.5,35.2,40.8,0.18100562385915175,SUB
H5.PFCB11.4.4.trim.sam.counts,PFC,11,4-4Batch11,77,0,4Batch1,4Batch11Cage4,1 hr,3.1875,1,5.504329004329,1,35.2,35.3,35.6,0.5467847117083998,DOM
H6.AMYB11.2.3.trim.sam.counts,AMY,11,2-3Batch11,0,48,3Batch1,3Batch11Cage2,1 hr,-3.01704260651629,4,-3.61666666666667,4,38.1,36.9,36.8,0.41361140593892587,SUB
H7.AMYB14.3.1.trim.sam.counts,AMY,14,3-1Batch14,0,27,1Batch1,1Batch14Cage3,1 hr,-2.73095238095238,4,-2.82896965734494,4,41.5,43.6,37.8,0.20633968807565134,CSUB
H8.AMYB11.5.2.trim.sam.counts,AMY,11,5-2Batch11,36,0,2Batch1,2Batch11Cage5,1 hr,3.79166666666667,1,5.66195131301514,1,32.8,31.8,31.8,0.11214456434764837,CDOM
