"","symbol","dsub_logFC","dsub_pv","time","dd_logFC","dd_pv"
"39","Slc25a5",0.325035003804256,0.0018,70,0.287976735352503,0.0078
"40","Serpina3n",0.705100204924221,0.0018,70,0.72756066285022,0.0014
"41","Snx24",0.445448104225761,0.0018,70,0.272562450352644,0.0422
"42","Pdpn",0.947684419107378,0.0018,70,0.751654704574062,0.016
"43","Penk",1.38276642952281,0.0018,70,1.01405993270516,0.017
"44","Dnajc10",0.255468194053164,0.002,70,0.284723026170992,0.0014
"45","Plin2",0.608986152541483,0.002,70,0.521746916459018,0.0192
"46","Plpp6",0.557878593162455,0.002,70,0.450193906971599,0.0126
"47","Skap2",0.563903620497172,0.002,70,0.451282122889158,0.0268
"48","Hacd2",0.314402232443227,0.0024,70,0.349038819491605,0.0018
"49","Vim",0.890987611820472,0.0026,70,0.718539939702645,0.0132
"50","Kcna1",0.295262258021088,0.0026,70,0.203791317438558,0.0432
"51","Egfl7",0.309071722381874,0.0028,70,0.229910307641442,0.0234
"52","S100a16",0.522741534475984,0.003,70,0.387969630563779,0.0218
"53","Glra1",2.04142286285813,0.0032,70,1.91362137401043,0.013
"54","Nrp2",0.507914376428384,0.0032,70,0.335530266848127,0.0372
"55","Brinp3",0.976478683317328,0.0032,70,0.770848176296685,0.0154
"56","Ccl12",2.27745646477869,0.0032,70,2.47972392883742,6e-04
"57","Bivm",0.563297061111455,0.0032,70,0.558488266664975,0.0064
"58","Arxes1",0.490627163135342,0.0032,70,0.396100012149615,0.0198
"59","Slain1",0.28604092261841,0.0032,70,0.217536877362956,0.0282
"60","Slc25a34",0.791580594828581,0.0034,70,0.491970734186936,0.0496
"61","Ndst4",2.27891084862463,0.0036,70,1.4783521214962,0.0242
"62","Mmp17",0.307056538203273,0.0036,70,0.271873197451374,0.013
"63","Aldh1a1",0.784999605867953,0.0036,70,0.783726360284007,0.0048
"67","Ddx3x",0.217907805644995,0.0038,70,0.219821645779202,0.0042
