"Well","plate","dilution_factor","final_conc_ng_ul","mean_con_ng_ul","batch","period","post_id","precage","pre_id","post_idbatch","pre_idbatch","pre_idbatchcage","group","time","Postds","Postrank","Preds","Prerank","condition"
"E7",2,100,312.305467487569,296.634025910676,5,"Post","1-3","Cage1","3","1-3Batch5","3Batch5","3Batch5Cage1","control","25hr",-4.26666666666667,4,-4.90151515151515,4,"control"
"E8",2,100,280.962584333783,296.634025910676,5,"Post","1-3","Cage1","3","1-3Batch5","3Batch5","3Batch5Cage1","control","25hr",-4.26666666666667,4,-4.90151515151515,4,"control"
"F7",2,100,92.1228594284735,99.35709572001,5,"Pre","1-4","Cage1","4","1-4Batch5","4Batch5","4Batch5Cage1","control","25hr",5.30707070707071,1,5.69410774410774,1,"control"
"F8",2,100,106.591332011546,99.35709572001,5,"Pre","1-4","Cage1","4","1-4Batch5","4Batch5","4Batch5Cage1","control","25hr",5.30707070707071,1,5.69410774410774,1,"control"
"G7",2,100,93.5042376943216,99.626057724584,5,"Post","1-4","Cage1","4","1-4Batch5","4Batch5","4Batch5Cage1","control","25hr",5.30707070707071,1,5.69410774410774,1,"control"
"G8",2,100,105.747877754846,99.626057724584,5,"Post","1-4","Cage1","4","1-4Batch5","4Batch5","4Batch5Cage1","control","25hr",5.30707070707071,1,5.69410774410774,1,"control"
"H7",2,100,151.147262986627,163.52207932221,4,"Pre","3-2","Cage3","2","3-2Batch4","2Batch4","2Batch4Cage3","reorganized","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders"
"H8",2,100,175.896895657793,163.52207932221,4,"Pre","3-2","Cage3","2","3-2Batch4","2Batch4","2Batch4Cage3","reorganized","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders"
"A9",2,100,102.472368127729,111.014492252825,4,"Post","3-2","Cage3","2","3-2Batch4","2Batch4","2Batch4Cage3","reorganized","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders"
"A10",2,100,119.556616377922,111.014492252825,4,"Post","3-2","Cage3","2","3-2Batch4","2Batch4","2Batch4Cage3","reorganized","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders"
"B9",2,100,73.0159941683297,75.858266660179,4,"Pre","4-1","Cage4","1","4-1Batch4","1Batch4","1Batch4Cage4","reorganized","25hr",5.82017825311943,1,5.60805860805861,1,"same"
"B10",2,100,78.7005391520283,75.858266660179,4,"Pre","4-1","Cage4","1","4-1Batch4","1Batch4","1Batch4Cage4","reorganized","25hr",5.82017825311943,1,5.60805860805861,1,"same"
"C9",2,100,78.1585539221352,71.9378705562293,4,"Post","4-1","Cage4","1","4-1Batch4","1Batch4","1Batch4Cage4","reorganized","25hr",5.82017825311943,1,5.60805860805861,1,"same"
"C10",2,100,65.7171871903233,71.9378705562293,4,"Post","4-1","Cage4","1","4-1Batch4","1Batch4","1Batch4Cage4","reorganized","25hr",5.82017825311943,1,5.60805860805861,1,"same"
"D9",2,100,79.8005779211434,86.3051793093466,3,"Pre","2-3","Cage2","3","2-3Batch3","3Batch3","3Batch3Cage2","control","25hr",4.54825174825175,1,4.85391941391941,1,"control"
"D10",2,100,92.8097806975498,86.3051793093466,3,"Pre","2-3","Cage2","3","2-3Batch3","3Batch3","3Batch3Cage2","control","25hr",4.54825174825175,1,4.85391941391941,1,"control"
"E9",2,100,52.842943252382,52.2153536898377,3,"Post","2-3","Cage2","3","2-3Batch3","3Batch3","3Batch3Cage2","control","25hr",4.54825174825175,1,4.85391941391941,1,"control"
"E10",2,100,51.5877641272934,52.2153536898377,3,"Post","2-3","Cage2","3","2-3Batch3","3Batch3","3Batch3Cage2","control","25hr",4.54825174825175,1,4.85391941391941,1,"control"
"F9",2,100,145.483408661953,145.483408661953,3,"Pre","2-1","Cage2","1","2-1Batch3","1Batch3","1Batch3Cage2","control","25hr",-2.85827505827506,4,-3.08538461538462,4,"control"
"F10",2,100,145.483408661953,145.483408661953,3,"Pre","2-1","Cage2","1","2-1Batch3","1Batch3","1Batch3Cage2","control","25hr",-2.85827505827506,4,-3.08538461538462,4,"control"
"G9",2,100,60.1193036441226,62.4975665383507,3,"Post","2-1","Cage2","1","2-1Batch3","1Batch3","1Batch3Cage2","control","25hr",-2.85827505827506,4,-3.08538461538462,4,"control"
"G10",2,100,64.8758294325787,62.4975665383507,3,"Post","2-1","Cage2","1","2-1Batch3","1Batch3","1Batch3Cage2","control","25hr",-2.85827505827506,4,-3.08538461538462,4,"control"
"H9",2,100,59.744144663987,63.8152349852881,14,"Pre","1-1","Cage1","1","1-1Batch14","1Batch14","1Batch14Cage1","reorganized","1 hr",4.71428571428572,1,-4.79761904761905,4,"ascenders"
"H10",2,100,67.8863253065893,63.8152349852881,14,"Pre","1-1","Cage1","1","1-1Batch14","1Batch14","1Batch14Cage1","reorganized","1 hr",4.71428571428572,1,-4.79761904761905,4,"ascenders"
"A11",2,100,61.2636530501499,65.4780896941236,14,"Post","1-1","Cage1","1","1-1Batch14","1Batch14","1Batch14Cage1","reorganized","1 hr",4.71428571428572,1,-4.79761904761905,4,"ascenders"
"A12",2,100,69.6925263380973,65.4780896941236,14,"Post","1-1","Cage1","1","1-1Batch14","1Batch14","1Batch14Cage1","reorganized","1 hr",4.71428571428572,1,-4.79761904761905,4,"ascenders"
"B11",2,100,63.6408016979035,60.2458297504098,14,"Pre","2-2","Cage2","2","2-2Batch14","2Batch14","2Batch14Cage2","reorganized","1 hr",-4.04761904761905,4,-5.35164835164835,4,"same"
"B12",2,100,56.850857802916,60.2458297504098,14,"Pre","2-2","Cage2","2","2-2Batch14","2Batch14","2Batch14Cage2","reorganized","1 hr",-4.04761904761905,4,-5.35164835164835,4,"same"
"C11",2,100,138.864017274698,142.865668118802,14,"Post","2-2","Cage2","2","2-2Batch14","2Batch14","2Batch14Cage2","reorganized","1 hr",-4.04761904761905,4,-5.35164835164835,4,"same"
"C12",2,100,146.867318962905,142.865668118802,14,"Post","2-2","Cage2","2","2-2Batch14","2Batch14","2Batch14Cage2","reorganized","1 hr",-4.04761904761905,4,-5.35164835164835,4,"same"
