"Well","plate","dilution_factor","final_conc_ng_ul","mean_con_ng_ul","batch","period","post_id","precage","pre_id","post_idbatch","pre_idbatch","pre_idbatchcage"
"A11",2,100,61.2636530501499,65.4780896941236,"14","Post","1-1","Cage1","1","1-1Batch14","1 Batch14","1Batch14Cage1"
"A12",2,100,69.6925263380973,65.4780896941236,"14","Post","1-1","Cage1","1","1-1Batch14","1 Batch14","1Batch14Cage1"
"B11",2,100,63.6408016979035,60.2458297504098,"14","Pre","2-2","Cage2","2","2-2Batch14","2 Batch14","2Batch14Cage2"
"B12",2,100,56.850857802916,60.2458297504098,"14","Pre","2-2","Cage2","2","2-2Batch14","2 Batch14","2Batch14Cage2"
"C11",2,100,138.864017274698,142.865668118802,"14","Post","2-2","Cage2","2","2-2Batch14","2 Batch14","2Batch14Cage2"
"C12",2,100,146.867318962905,142.865668118802,"14","Post","2-2","Cage2","2","2-2Batch14","2 Batch14","2Batch14Cage2"
"D11",2,100,25.5115908884849,28.211246703271,"13","Pre","3-4","Cage3","4","3-4Batch13","4 Batch13","4Batch13Cage3"
"D12",2,100,30.9109025180571,28.211246703271,"13","Pre","3-4","Cage3","4","3-4Batch13","4 Batch13","4Batch13Cage3"
"E11",2,100,356.321496972633,359.454229288908,"13","Post","3-4","Cage3","4","3-4Batch13","4 Batch13","4Batch13Cage3"
"E12",2,100,362.586961605183,359.454229288908,"13","Post","3-4","Cage3","4","3-4Batch13","4 Batch13","4Batch13Cage3"
"F11",2,100,43.7677323775118,47.0689040649763,"13","Pre","1-4","Cage1","4","1-4Batch13","4 Batch13","4Batch13Cage1"
"F12",2,100,50.3700757524407,47.0689040649763,"13","Pre","1-4","Cage1","4","1-4Batch13","4 Batch13","4Batch13Cage1"
"G11",2,100,140.149298216486,149.443645142217,"13","Post","1-4","Cage1","4","1-4Batch13","4 Batch13","4Batch13Cage1"
"G12",2,100,158.737992067949,149.443645142217,"13","Post","1-4","Cage1","4","1-4Batch13","4 Batch13","4Batch13Cage1"
"D3",3,100,29.7425222883532,28.0422230870598,"12","Pre","3-4","Cage3","4","3-4Batch12","4 Batch12","4Batch12Cage3"
"D4",3,100,26.3419238857664,28.0422230870598,"12","Pre","3-4","Cage3","4","3-4Batch12","4 Batch12","4Batch12Cage3"
"E3",3,100,91.8998843282773,89.6988503150503,"12","Post","3-4","Cage3","4","3-4Batch12","4 Batch12","4Batch12Cage3"
"E4",3,100,87.4978163018232,89.6988503150503,"12","Post","3-4","Cage3","4","3-4Batch12","4 Batch12","4Batch12Cage3"
"F3",3,100,78.5832021693113,82.4418384737858,"12","Pre","3-1","Cage3","1","3-1Batch12","1 Batch12","1Batch12Cage3"
"F4",3,100,86.3004747782602,82.4418384737858,"12","Pre","3-1","Cage3","1","3-1Batch12","1 Batch12","1Batch12Cage3"
"G3",3,100,80.6768862124141,76.7234682503427,"12","Post","3-1","Cage3","1","3-1Batch12","1 Batch12","1Batch12Cage3"
"G4",3,100,72.7700502882712,76.7234682503427,"12","Post","3-1","Cage3","1","3-1Batch12","1 Batch12","1Batch12Cage3"
"H3",3,100,101.066347775765,94.8937996494673,"11","Pre","1-4","Cage1","4","1-4Batch11","4 Batch11","4Batch11Cage1"
"H4",3,100,88.7212515231693,94.8937996494673,"11","Pre","1-4","Cage1","4","1-4Batch11","4 Batch11","4Batch11Cage1"
"A5",3,100,187.729483224121,171.821962349397,"11","Post","1-4","Cage1","4","1-4Batch11","4 Batch11","4Batch11Cage1"
"A6",3,100,155.914441474673,171.821962349397,"11","Post","1-4","Cage1","4","1-4Batch11","4 Batch11","4Batch11Cage1"
"B5",3,100,57.9855693898031,53.404706136239,"11","Pre","2-3","Cage2","3","2-3Batch11","3 Batch11","3Batch11Cage2"
"B6",3,100,48.8238428826749,53.404706136239,"11","Pre","2-3","Cage2","3","2-3Batch11","3 Batch11","3Batch11Cage2"
"C5",3,100,227.217180661761,245.214919056076,"11","Post","2-3","Cage2","3","2-3Batch11","3 Batch11","3Batch11Cage2"
"C6",3,100,263.212657450391,245.214919056076,"11","Post","2-3","Cage2","3","2-3Batch11","3 Batch11","3Batch11Cage2"
"D5",3,100,50.1662710880652,48.4679201932956,"10","Pre","5-3","Cage5","3","5-3Batch10","3 Batch10","3Batch10Cage5"
"D6",3,100,46.7695692985261,48.4679201932956,"10","Pre","5-3","Cage5","3","5-3Batch10","3 Batch10","3Batch10Cage5"
"E5",3,100,398.340060318546,413.059060773447,"10","Post","5-3","Cage5","3","5-3Batch10","3 Batch10","3Batch10Cage5"
"E6",3,100,427.778061228347,413.059060773447,"10","Post","5-3","Cage5","3","5-3Batch10","3 Batch10","3Batch10Cage5"
"F5",3,100,82.8567590372622,83.9925713773192,"10","Pre","3-3","Cage3","3","3-3Batch10","3 Batch10","3Batch10Cage3"
"F6",3,100,85.1283837173762,83.9925713773192,"10","Pre","3-3","Cage3","3","3-3Batch10","3 Batch10","3Batch10Cage3"
"G5",3,100,474.356233251439,503.232724218499,"10","Post","3-3","Cage3","3","3-3Batch10","3 Batch10","3Batch10Cage3"
"G6",3,100,532.109215185559,503.232724218499,"10","Post","3-3","Cage3","3","3-3Batch10","3 Batch10","3Batch10Cage3"
"H5",3,100,74.1616681369263,68.8995060869166,"9","Pre","2-3","Cage2","3","2-3Batch9","3 Batch9","3Batch9Cage2"
"H6",3,100,63.637344036907,68.8995060869166,"9","Pre","2-3","Cage2","3","2-3Batch9","3 Batch9","3Batch9Cage2"
"A7",3,100,73.2295948300685,70.8141031940734,"9","Post","2-3","Cage2","3","2-3Batch9","3 Batch9","3Batch9Cage2"
"A8",3,100,68.3986115580784,70.8141031940734,"9","Post","2-3","Cage2","3","2-3Batch9","3 Batch9","3Batch9Cage2"
"B7",3,100,59.3311873594284,56.164500950943,"9","Pre","2-2","Cage2","2","2-2Batch9","2 Batch9","2Batch9Cage2"
"B8",3,100,52.9978145424575,56.164500950943,"9","Pre","2-2","Cage2","2","2-2Batch9","2 Batch9","2Batch9Cage2"
"C7",3,100,103.391265409022,112.407257272448,"9","Post","2-2","Cage2","2","2-2Batch9","2 Batch9","2Batch9Cage2"
"C8",3,100,121.423249135873,112.407257272448,"9","Post","2-2","Cage2","2","2-2Batch9","2 Batch9","2Batch9Cage2"
"D7",3,100,40.7904712910127,42.223220387857,"8","Pre","4-1","Cage4","1","4-1Batch8","1 Batch8","1Batch8Cage4"
"D8",3,100,43.6559694847012,42.223220387857,"8","Pre","4-1","Cage4","1","4-1Batch8","1 Batch8","1Batch8Cage4"
"E7",3,100,199.402935548079,207.341313043477,"8","Post","4-1","Cage4","1","4-1Batch8","1 Batch8","1Batch8Cage4"
"E8",3,100,215.279690538874,207.341313043477,"8","Post","4-1","Cage4","1","4-1Batch8","1 Batch8","1Batch8Cage4"
"F7",3,100,145.470647963075,136.117651194672,"8","Pre","2-2","Cage2","2","2-2Batch8","2 Batch8","2Batch8Cage2"
"F8",3,100,126.764654426269,136.117651194672,"8","Pre","2-2","Cage2","2","2-2Batch8","2 Batch8","2Batch8Cage2"
"G7",3,100,336.226016021246,329.876616791225,"8","Post","2-2","Cage2","2","2-2Batch8","2 Batch8","2Batch8Cage2"
"G8",3,100,323.527217561204,329.876616791225,"8","Post","2-2","Cage2","2","2-2Batch8","2 Batch8","2Batch8Cage2"
"H7",3,100,67.5703431088636,72.3183742727315,"7","Pre","3-4","Cage3","4","3-4Batch7","4 Batch7","4Batch7Cage3"
"H8",3,100,77.0664054365995,72.3183742727315,"7","Pre","3-4","Cage3","4","3-4Batch7","4 Batch7","4Batch7Cage3"
"A9",3,100,173.333287801662,186.368111674871,"7","Post","3-4","Cage3","4","3-4Batch7","4 Batch7","4Batch7Cage3"
"A10",3,100,199.402935548079,186.368111674871,"7","Post","3-4","Cage3","4","3-4Batch7","4 Batch7","4Batch7Cage3"
